brand,item,price
Hermès,Birkin 30,28630
Hermès,Mini Kelly 20,27115
Hermès,Constance 14 · Vert Foncé,23580
Hermès,Birkin 40 · Bleu de Prusse,21055
Hermès,Kelly 28,19530
Hermès,HAC 32 · Bleu Sapphire,16980
Chanel,Mini Rectangle Flap · Black Crocodile,18000
Dior,Newspaper Saddle Bag,15110
Chanel,Métiers d'Art Leopard Jacquard Flap,13818
Chanel,Suede Bag 32cm,9330
Fendi,AW26 Zebra Ponyhair Limited Edition Baguette,4515
Chanel,Coco Beach 2026 Chain Mesh Mules,3670
Amina Muaddi,Vittoria Slipper 105 · Silver,2082
Chanel,Coco Beach Cambon Ballet Flats,1893
Chanel,26B Quilted Denim Ballet Flats Light Blue,1677
