date,brand,interest
2026-08-10,Louis Vuitton,60
2026-08-10,Rolex,63
2026-08-10,Cartier,37
2026-08-10,Chanel,72
2026-08-10,Goyard,21
2026-08-10,Dior,79
2026-08-10,Hermès,66
2026-08-10,Fendi,12
2026-08-10,The Row,2
2026-08-11,Louis Vuitton,59
2026-08-11,Rolex,58
2026-08-11,Cartier,33
2026-08-11,Chanel,74
2026-08-11,Goyard,24
2026-08-11,Dior,75
2026-08-11,Hermès,61
2026-08-11,Fendi,13
2026-08-11,The Row,1
2026-08-12,Louis Vuitton,63
2026-08-12,Rolex,59
2026-08-12,Cartier,34
2026-08-12,Chanel,71
2026-08-12,Goyard,28
2026-08-12,Dior,80
2026-08-12,Hermès,59
2026-08-12,Fendi,12
2026-08-12,The Row,2
