date,source,type,rank,entity
2026-08-04,The RealReal,brand,1,Louis Vuitton
2026-08-04,The RealReal,brand,2,Chanel
2026-08-04,The RealReal,brand,3,Prada
2026-08-04,The RealReal,brand,4,Miu Miu
2026-08-04,The RealReal,brand,5,Gucci
2026-08-04,The RealReal,brand,6,Loewe
2026-08-04,The RealReal,brand,7,Bottega Veneta
2026-08-04,The RealReal,brand,8,Celine
2026-08-04,The RealReal,brand,9,Dior
2026-08-04,The RealReal,brand,10,The Row
2026-08-04,The RealReal,brand,11,Fendi
2026-08-04,myGemma,brand,1,Tiffany & Co.
2026-08-04,myGemma,brand,2,Chanel
2026-08-04,myGemma,brand,3,Cartier
2026-08-04,myGemma,brand,4,Hermès
2026-08-04,myGemma,brand,5,Goyard
2026-08-04,myGemma,brand,6,Van Cleef & Arpels
2026-08-04,myGemma,brand,7,David Yurman
2026-08-04,myGemma,brand,8,Louis Vuitton
2026-08-04,myGemma,brand,9,Buccellati
2026-08-04,myGemma,brand,10,Gucci
2026-08-04,myGemma,handbag,1,Hermès Kelly
2026-08-04,myGemma,handbag,2,Hermès Birkin
2026-08-04,myGemma,handbag,3,Louis Vuitton Speedy
2026-08-04,myGemma,handbag,4,Hermès Lindy
2026-08-04,myGemma,handbag,5,Chanel 25
2026-08-04,myGemma,handbag,6,Louis Vuitton Neverfull
2026-08-04,myGemma,handbag,7,Louis Vuitton Alma BB
2026-08-04,myGemma,handbag,8,Chanel 22
2026-08-04,myGemma,handbag,9,Chanel Deauville
2026-08-04,myGemma,handbag,10,Hermès Birkin 25
2026-08-04,Lyst,brand,1,Chanel
2026-08-04,Lyst,brand,2,Saint Laurent
2026-08-04,Lyst,brand,3,Dior
2026-08-04,Lyst,brand,4,Miu Miu
2026-08-04,Lyst,brand,5,Gucci
2026-08-04,Lyst,brand,6,Ralph Lauren
2026-08-04,Lyst,brand,7,Prada
2026-08-04,Lyst,brand,8,Coach
2026-08-04,Lyst,brand,9,Burberry
2026-08-04,Lyst,brand,10,COS
2026-08-04,Lyst,brand,11,The Row
2026-08-04,Lyst,brand,19,Fendi
2026-08-04,Lyst,brand,20,Céline
2026-08-05,The RealReal,brand,1,Louis Vuitton
2026-08-05,The RealReal,brand,2,Chanel
2026-08-05,The RealReal,brand,3,Prada
2026-08-05,The RealReal,brand,4,Miu Miu
2026-08-05,The RealReal,brand,5,Gucci
2026-08-05,The RealReal,brand,6,Loewe
2026-08-05,The RealReal,brand,7,Bottega Veneta
2026-08-05,The RealReal,brand,8,Celine
2026-08-05,The RealReal,brand,9,Dior
2026-08-05,The RealReal,brand,10,The Row
2026-08-05,The RealReal,brand,11,Fendi
2026-08-05,myGemma,brand,1,Tiffany & Co.
2026-08-05,myGemma,brand,2,Chanel
2026-08-05,myGemma,brand,3,Cartier
2026-08-05,myGemma,brand,4,Hermès
2026-08-05,myGemma,brand,5,Goyard
2026-08-05,myGemma,brand,6,Van Cleef & Arpels
2026-08-05,myGemma,brand,7,David Yurman
2026-08-05,myGemma,brand,8,Louis Vuitton
2026-08-05,myGemma,brand,9,Buccellati
2026-08-05,myGemma,brand,10,Gucci
2026-08-05,myGemma,handbag,1,Hermès Kelly
2026-08-05,myGemma,handbag,2,Hermès Birkin
2026-08-05,myGemma,handbag,3,Louis Vuitton Speedy
2026-08-05,myGemma,handbag,4,Hermès Lindy
2026-08-05,myGemma,handbag,5,Chanel 25
2026-08-05,myGemma,handbag,6,Louis Vuitton Neverfull
2026-08-05,myGemma,handbag,7,Louis Vuitton Alma BB
2026-08-05,myGemma,handbag,8,Chanel 22
2026-08-05,myGemma,handbag,9,Chanel Deauville
2026-08-05,myGemma,handbag,10,Hermès Birkin 25
2026-08-05,Lyst,brand,1,Chanel
2026-08-05,Lyst,brand,2,Saint Laurent
2026-08-05,Lyst,brand,3,Dior
2026-08-05,Lyst,brand,4,Miu Miu
2026-08-05,Lyst,brand,5,Gucci
2026-08-05,Lyst,brand,6,Ralph Lauren
2026-08-05,Lyst,brand,7,Prada
2026-08-05,Lyst,brand,8,Coach
2026-08-05,Lyst,brand,9,Burberry
2026-08-05,Lyst,brand,10,COS
2026-08-05,Lyst,brand,11,The Row
2026-08-05,Lyst,brand,19,Fendi
2026-08-05,Lyst,brand,20,Céline
2026-08-06,The RealReal,brand,1,Louis Vuitton
2026-08-06,The RealReal,brand,2,Chanel
2026-08-06,The RealReal,brand,3,Prada
2026-08-06,The RealReal,brand,4,Miu Miu
2026-08-06,The RealReal,brand,5,Gucci
