date,brand,item,price
2026-08-04,Hermès,Birkin 30,28630
2026-08-04,Hermès,Mini Kelly 20,27115
2026-08-04,Hermès,Constance 14 · Vert Foncé,23580
2026-08-04,Hermès,Birkin 40 · Bleu de Prusse,21055
2026-08-04,Hermès,Kelly 28,19530
2026-08-04,Hermès,HAC 32 · Bleu Sapphire,16980
2026-08-04,Chanel,Mini Rectangle Flap · Black Crocodile,18000
2026-08-04,Dior,Newspaper Saddle Bag,15110
2026-08-04,Chanel,Métiers d'Art Leopard Jacquard Flap,13818
2026-08-04,Chanel,Suede Bag 32cm,9330
2026-08-04,Fendi,AW26 Zebra Ponyhair Limited Edition Baguette,4515
2026-08-04,Chanel,Coco Beach 2026 Chain Mesh Mules,3670
2026-08-04,Amina Muaddi,Vittoria Slipper 105 · Silver,2082
2026-08-04,Chanel,Coco Beach Cambon Ballet Flats,1893
2026-08-04,Chanel,26B Quilted Denim Ballet Flats Light Blue,1677
