date,brand,retention_pct,report_year,appreciates
2026-08-04,Hermès,138,2025,true
2026-08-04,Goyard,132,2025,true
2026-08-04,Chanel,92,2024,false
2026-08-04,Louis Vuitton,88,2024,false
2026-08-04,Celine,64,2024,false
2026-08-05,Hermès,138,2025,true
2026-08-05,Goyard,132,2025,true
2026-08-05,Chanel,92,2024,false
2026-08-05,Louis Vuitton,88,2024,false
2026-08-05,Celine,64,2024,false
2026-08-06,Hermès,138,2025,true
2026-08-06,Goyard,132,2025,true
2026-08-06,Chanel,92,2024,false
2026-08-06,Louis Vuitton,88,2024,false
2026-08-06,Celine,64,2024,false
2026-08-07,Hermès,138,2025,true
2026-08-07,Goyard,132,2025,true
2026-08-07,Chanel,92,2024,false
2026-08-07,Louis Vuitton,88,2024,false
2026-08-07,Celine,64,2024,false
2026-08-08,Hermès,138,2025,true
2026-08-08,Goyard,132,2025,true
2026-08-08,Chanel,92,2024,false
2026-08-08,Louis Vuitton,88,2024,false
2026-08-08,Celine,64,2024,false
2026-08-09,Hermès,138,2025,true
2026-08-09,Goyard,132,2025,true
2026-08-09,Chanel,92,2024,false
2026-08-09,Louis Vuitton,88,2024,false
2026-08-09,Celine,64,2024,false
2026-08-10,Hermès,138,2025,true
2026-08-10,Goyard,132,2025,true
2026-08-10,Chanel,92,2024,false
2026-08-10,Louis Vuitton,88,2024,false
2026-08-10,Celine,64,2024,false
2026-08-11,Hermès,138,2025,true
2026-08-11,Goyard,132,2025,true
2026-08-11,Chanel,92,2024,false
2026-08-11,Louis Vuitton,88,2024,false
2026-08-11,Celine,64,2024,false
2026-08-12,Hermès,138,2025,true
2026-08-12,Goyard,132,2025,true
2026-08-12,Chanel,92,2024,false
2026-08-12,Louis Vuitton,88,2024,false
2026-08-12,Celine,64,2024,false
