date,brand,keyword,monthly_searches
2026-08-07,Hermès,hermes bag,110000
2026-08-07,Chanel,chanel bag,450000
2026-08-07,Louis Vuitton,louis vuitton bag,823000
2026-08-07,Goyard,goyard bag,368000
2026-08-07,Dior,dior bag,135000
2026-08-07,Fendi,fendi bag,60500
2026-08-07,Cartier,cartier,673000
2026-08-07,Rolex,rolex,823000
2026-08-07,The Row,the row bag,33100
2026-08-08,Hermès,hermes bag,110000
2026-08-08,Chanel,chanel bag,450000
2026-08-08,Louis Vuitton,louis vuitton bag,823000
2026-08-08,Goyard,goyard bag,368000
2026-08-08,Dior,dior bag,135000
2026-08-08,Fendi,fendi bag,60500
2026-08-08,Cartier,cartier,673000
2026-08-08,Rolex,rolex,823000
2026-08-08,The Row,the row bag,33100
