brand,scarcity,demand_z,supply_z,turnover_pct,median_price,median_days_to_sell,listings,interest
Chanel,2.97,1.3,-1.67,2.18,3895,57,6872,2.0289
Dior,0.98,0.89,-0.09,2.77,2205,85,1219,1.4911
The Row,-0.03,-0.32,-0.29,7.3,2180,24,141,0.0244
Hermès,-0.59,-0.23,0.36,2.31,6360,47,2778,1.0267
Louis Vuitton,-0.89,-0.52,0.37,2.27,1495,43,8157,1.4911
Cartier,-0.93,1.08,2.01,2.04,2295,43,534,0.9533
Goyard,-1.8,-1.55,0.25,3.96,2650,47,365,0.3667
Rolex,-1.94,-0.35,1.59,,,,,1.6378
Fendi,,,-2.06,6.53,1375,34,661,
Prada,,-1.21,,1.78,1215,55,783,1.1489
Bottega Veneta,,-1.41,,3.35,1595,44,694,0.1467
Celine,,2.09,,3.14,1420,73,650,0.6844
