date,item,yoy_change_pct
2026-08-04,Van Cleef & Arpels Alhambra,20
2026-08-04,Goyard Saint Louis Tote,18
2026-08-04,Rolex Datejust,17
2026-08-04,Hermès Birkin 30,15
2026-08-05,Van Cleef & Arpels Alhambra,20
2026-08-05,Goyard Saint Louis Tote,18
2026-08-05,Rolex Datejust,17
2026-08-05,Hermès Birkin 30,15
2026-08-06,Van Cleef & Arpels Alhambra,20
2026-08-06,Goyard Saint Louis Tote,18
2026-08-06,Rolex Datejust,17
2026-08-06,Hermès Birkin 30,15
2026-08-07,Van Cleef & Arpels Alhambra,20
2026-08-07,Goyard Saint Louis Tote,18
2026-08-07,Rolex Datejust,17
2026-08-07,Hermès Birkin 30,15
