date,rank,brand,points
2026-08-04,1,Chanel,1404
2026-08-04,2,Louis Vuitton,1227
2026-08-04,3,Hermès,1156
2026-08-05,1,Chanel,1404
2026-08-05,2,Louis Vuitton,1227
2026-08-05,3,Hermès,1156
2026-08-06,1,Chanel,1404
2026-08-06,2,Louis Vuitton,1227
2026-08-06,3,Hermès,1156
2026-08-07,1,Chanel,1404
2026-08-07,2,Louis Vuitton,1227
2026-08-07,3,Hermès,1156
2026-08-08,1,Chanel,1404
2026-08-08,2,Louis Vuitton,1227
2026-08-08,3,Hermès,1156
2026-08-09,1,Chanel,1404
2026-08-09,2,Louis Vuitton,1227
2026-08-09,3,Hermès,1156
2026-08-10,1,Chanel,1404
2026-08-10,2,Louis Vuitton,1227
2026-08-10,3,Hermès,1156
2026-08-11,1,Chanel,1404
2026-08-11,2,Louis Vuitton,1227
2026-08-11,3,Hermès,1156
2026-08-12,1,Chanel,1404
2026-08-12,2,Louis Vuitton,1227
2026-08-12,3,Hermès,1156
2026-08-13,1,Chanel,1404
2026-08-13,2,Louis Vuitton,1227
2026-08-13,3,Hermès,1156
2026-08-14,1,Chanel,1404
2026-08-14,2,Louis Vuitton,1227
2026-08-14,3,Hermès,1156
2026-08-15,1,Chanel,1404
2026-08-15,2,Louis Vuitton,1227
2026-08-15,3,Hermès,1156
2026-08-16,1,Chanel,1404
2026-08-16,2,Louis Vuitton,1227
2026-08-16,3,Hermès,1156
2026-08-17,1,Chanel,1404
2026-08-17,2,Louis Vuitton,1227
2026-08-17,3,Hermès,1156
2026-08-18,1,Chanel,1404
2026-08-18,2,Louis Vuitton,1227
2026-08-18,3,Hermès,1156
2026-08-19,1,Chanel,1404
2026-08-19,2,Louis Vuitton,1227
2026-08-19,3,Hermès,1156
2026-08-20,1,Chanel,1404
2026-08-20,2,Louis Vuitton,1227
2026-08-20,3,Hermès,1156
2026-08-21,1,Chanel,1404
2026-08-21,2,Louis Vuitton,1227
2026-08-21,3,Hermès,1156
2026-08-22,1,Chanel,1404
2026-08-22,2,Louis Vuitton,1227
2026-08-22,3,Hermès,1156
2026-08-23,1,Chanel,1404
2026-08-23,2,Louis Vuitton,1227
2026-08-23,3,Hermès,1156
2026-08-24,1,Chanel,1404
2026-08-24,2,Louis Vuitton,1227
2026-08-24,3,Hermès,1156
2026-08-25,1,Chanel,1404
2026-08-25,2,Louis Vuitton,1227
2026-08-25,3,Hermès,1156
2026-08-26,1,Chanel,1404
2026-08-26,2,Louis Vuitton,1227
2026-08-26,3,Hermès,1156
2026-08-27,1,Chanel,1404
2026-08-27,2,Louis Vuitton,1227
2026-08-27,3,Hermès,1156
2026-08-28,1,Chanel,1404
2026-08-28,2,Louis Vuitton,1227
2026-08-28,3,Hermès,1156
